FIPS,County,Cruz,Beto,Cruz %,Beto %
48269,King,124,6,0.95,0.05
48271,Kinney,827,358,0.7,0.3
48273,Kleberg,"4,081","4,456",0.48,0.52
48275,Knox,855,229,0.79,0.21
48277,Lamar,"12,711","3,731",0.77,0.23
48279,Lamb,"2,741",699,0.8,0.2
48281,Lampasas,"5,836","1,569",0.79,0.21
48283,Lasalle,673,813,0.45,0.55
48285,Lavaca,"6,688","1,019",0.87,0.13
48287,Lee,"4,487","1,322",0.77,0.23
48289,Leon,"5,711",855,0.87,0.13
48291,Liberty,"16,041","4,421",0.78,0.22
48293,Limestone,"5,211","1,672",0.76,0.24
48295,Lipscomb,942,116,0.89,0.11
48297,Live Oak,"3,029",601,0.83,0.17
48299,Llano,"7,954","2,124",0.79,0.21
48301,Loving,47,6,0.89,0.11
48303,Lubbock,"58,780","32,068",0.65,0.35
48305,Lynn,"1,369",323,0.81,0.19
48307,Madison,"3,033",780,0.8,0.2
48309,Marion,"2,448","1,018",0.71,0.29
48317,Martin,"1,297",243,0.84,0.16
48313,Mason,"1,560",402,0.8,0.2
48315,Matagorda,"7,330","3,049",0.71,0.29
48323,Maverick,"2,951","7,727",0.28,0.72
48319,Mcculloch,"2,245",400,0.85,0.15
48321,Mclennan,"45,855","28,452",0.62,0.38
48311,Mcmullen,387,41,0.9,0.1
48325,Medina,"11,444","4,621",0.71,0.29
48327,Menard,632,145,0.81,0.19
48329,Midland,"32,867","9,723",0.77,0.23
48331,Milam,"5,922","1,997",0.75,0.25
48333,Mills,"1,764",229,0.89,0.11
48335,Mitchell,"1,585",323,0.83,0.17
48337,Montague,"6,424",941,0.87,0.13
48339,Montgomery,"137,395","51,268",0.73,0.27
48341,Moore,"3,248",787,0.8,0.2
48343,Morris,"2,953","1,260",0.7,0.3
48345,Motley,483,40,0.92,0.08
48347,Nacogdoches,"13,775","7,732",0.64,0.36
48349,Navarro,"10,391","3,918",0.73,0.27
48351,Newton,"3,660",993,0.79,0.21
48353,Nolan,"3,120",928,0.77,0.23
48355,Nueces,"45,956","47,392",0.49,0.51
48357,Ochiltree,"2,160",230,0.9,0.1
48359,Oldham,732,82,0.9,0.1
48361,Orange,"21,164","5,050",0.81,0.19
48363,Palo Pinto,"7,547","1,837",0.8,0.2
48365,Panola,"7,120","1,598",0.82,0.18
48367,Parker,"44,071","9,956",0.82,0.18
48369,Parmer,"1,675",372,0.82,0.18
48371,Pecos,"2,161","1,339",0.62,0.38
48373,Polk,"12,794","3,850",0.77,0.23
48375,Potter,"16,689","7,521",0.69,0.31
48377,Presidio,436,"1,221",0.26,0.74
48379,Rains,"3,702",681,0.84,0.16
48381,Randall,"38,479","9,613",0.8,0.2
48383,Reagan,692,136,0.84,0.16
48385,Real,"1,311",245,0.84,0.16
48387,Red River,"3,427",973,0.78,0.22
48389,Reeves,"1,128","1,255",0.47,0.53
48391,Refugio,"1,636",847,0.66,0.34
48393,Roberts,441,19,0.96,0.04
48395,Robertson,"4,295","1,942",0.69,0.31
48397,Rockwall,"26,615","11,754",0.69,0.31
48399,Runnels,"2,842",385,0.88,0.12
48401,Rusk,"12,597","3,609",0.78,0.22
48403,Sabine,"3,456",496,0.87,0.13
48405,San Augustine,"2,266",734,0.76,0.24
48407,San Jacinto,"7,499","1,785",0.81,0.19
48409,San Patricio,"11,335","6,777",0.63,0.37
48411,San Saba,"1,811",247,0.88,0.12
48413,Schleicher,735,209,0.78,0.22
48415,Scurry,"3,705",642,0.85,0.15
48417,Shackelford,"1,174",103,0.92,0.08
48419,Shelby,"6,008","1,521",0.8,0.2
48421,Sherman,692,87,0.89,0.11
48423,Smith,"53,760","23,182",0.7,0.3
48425,Somervell,"3,033",633,0.83,0.17
48427,Starr,"2,443","8,273",0.23,0.77
48429,Stephens,"2,631",324,0.89,0.11
48431,Sterling,442,44,0.91,0.09
48433,Stonewall,497,112,0.82,0.18
48435,Sutton,934,265,0.78,0.22
48437,Swisher,"1,461",420,0.78,0.22
48439,Tarrant,"309,189","313,497",0.5,0.5
48441,Taylor,"29,811","10,489",0.74,0.26
48443,Terrell,323,139,0.7,0.3
48445,Terry,"2,169",629,0.78,0.22
48447,Throckmorton,617,77,0.89,0.11
48449,Titus,"5,685","2,265",0.72,0.28
48451,Tom Green,"24,648","9,690",0.72,0.28
48453,Travis,"119,278","359,772",0.25,0.75
48455,Trinity,"4,146",998,0.81,0.19
48457,Tyler,"5,919","1,185",0.83,0.17
48459,Upshur,"11,529","2,364",0.83,0.17
48461,Upton,854,169,0.83,0.17
48463,Uvalde,"4,348","3,528",0.55,0.45
48465,Val Verde,"5,345","5,955",0.47,0.53
48467,Van Zandt,"15,182","2,634",0.85,0.15
48469,Victoria,"19,005","8,046",0.7,0.3
48471,Walker,"11,535","6,186",0.65,0.35
48473,Waller,"10,167","6,335",0.62,0.38
48475,Ward,"2,096",800,0.72,0.28
48477,Washington,"10,134","3,263",0.76,0.24
48479,Webb,"13,814","35,159",0.28,0.72
48481,Wharton,"9,094","3,793",0.71,0.29
48483,Wheeler,"1,679",125,0.93,0.07
48485,Wichita,"23,648","9,971",0.7,0.3
48487,Wilbarger,"2,639",776,0.77,0.23
48489,Willacy,"1,527","2,773",0.36,0.64
48491,Williamson,"99,857","105,850",0.49,0.51
48493,Wilson,"13,025","4,567",0.74,0.26
48495,Winkler,"1,123",321,0.78,0.22
48497,Wise,"19,023","3,915",0.83,0.17
48499,Wood,"13,987","2,635",0.84,0.16
48501,Yoakum,"1,558",335,0.82,0.18
48503,Young,"5,543",821,0.87,0.13
48505,Zapata,821,"1,392",0.37,0.63
48507,Zavala,589,"2,313",0.2,0.8
